ts,job_id,state,duration_ms,running_count,cp_completed,cp_failed,cp_inprogress,cp_last_dur_ms,cp_last_size,cp_total_count,num_cp_history
1777359270.7423844,0574ab7f6c0738143ee370585dfa0247,RUNNING,436179,0,11,2,1,27858,0,14,10
1777359272.7509425,0574ab7f6c0738143ee370585dfa0247,RUNNING,438186,0,11,2,1,27858,0,14,10
1777359274.7575154,0574ab7f6c0738143ee370585dfa0247,RUNNING,440192,0,11,2,1,27858,0,14,10
1777359276.76434,0574ab7f6c0738143ee370585dfa0247,RUNNING,442199,0,11,2,1,27858,0,14,10
1777359278.7701054,0574ab7f6c0738143ee370585dfa0247,RUNNING,444204,0,12,2,0,57332,0,14,10
1777359280.7761872,0574ab7f6c0738143ee370585dfa0247,RUNNING,446210,0,12,2,0,57332,0,14,10
1777359282.7816372,0574ab7f6c0738143ee370585dfa0247,RUNNING,448216,0,12,2,1,57332,0,15,10
1777359284.7876656,0574ab7f6c0738143ee370585dfa0247,RUNNING,450222,0,12,2,1,57332,0,15,10
1777359286.7919466,0574ab7f6c0738143ee370585dfa0247,RUNNING,452227,0,13,2,0,6454,0,15,10
1777359288.7977529,0574ab7f6c0738143ee370585dfa0247,RUNNING,454232,0,13,2,0,6454,0,15,10
1777359290.803507,0574ab7f6c0738143ee370585dfa0247,RUNNING,456238,0,13,2,1,6454,0,16,10
1777359292.8095074,0574ab7f6c0738143ee370585dfa0247,RUNNING,458243,0,13,2,1,6454,0,16,10
1777359294.815136,0574ab7f6c0738143ee370585dfa0247,RUNNING,460250,0,13,2,1,6454,0,16,10
1777359296.821165,0574ab7f6c0738143ee370585dfa0247,RUNNING,462255,0,13,2,1,6454,0,16,10
1777359298.8263674,0574ab7f6c0738143ee370585dfa0247,RUNNING,464261,0,13,2,1,6454,0,16,10
1777359300.8323486,0574ab7f6c0738143ee370585dfa0247,RUNNING,466266,0,13,2,1,6454,0,16,10
1777359302.8378365,0574ab7f6c0738143ee370585dfa0247,RUNNING,468272,0,13,2,1,6454,0,16,10
1777359304.842839,0574ab7f6c0738143ee370585dfa0247,RUNNING,470277,0,13,2,1,6454,0,16,10
1777359306.8478281,0574ab7f6c0738143ee370585dfa0247,RUNNING,472282,0,13,2,1,6454,0,16,10
1777359308.8523145,0574ab7f6c0738143ee370585dfa0247,RUNNING,474286,0,13,2,1,6454,0,16,10
1777359310.8578346,0574ab7f6c0738143ee370585dfa0247,RUNNING,476292,0,14,2,1,19284,0,17,10
1777359312.864404,0574ab7f6c0738143ee370585dfa0247,RUNNING,478298,0,14,2,1,19284,0,17,10
1777359314.8692453,0574ab7f6c0738143ee370585dfa0247,RUNNING,480304,0,14,2,1,19284,0,17,10
1777359316.875432,0574ab7f6c0738143ee370585dfa0247,RUNNING,482310,0,14,2,1,19284,0,17,10
1777359318.8803444,0574ab7f6c0738143ee370585dfa0247,RUNNING,484315,0,14,2,1,19284,0,17,10
1777359320.8860955,0574ab7f6c0738143ee370585dfa0247,RUNNING,486320,0,14,2,1,19284,0,17,10
1777359322.89056,0574ab7f6c0738143ee370585dfa0247,RUNNING,488325,0,14,2,1,19284,0,17,10
1777359324.896007,0574ab7f6c0738143ee370585dfa0247,RUNNING,490330,0,14,2,1,19284,0,17,10
1777359326.9018824,0574ab7f6c0738143ee370585dfa0247,RUNNING,492336,0,14,2,1,19284,0,17,10
1777359328.90765,0574ab7f6c0738143ee370585dfa0247,RUNNING,494342,0,14,2,1,19284,0,17,10
1777359330.9125788,0574ab7f6c0738143ee370585dfa0247,RUNNING,496347,0,14,2,1,19284,0,17,10
1777359332.9178255,0574ab7f6c0738143ee370585dfa0247,RUNNING,498352,0,14,2,1,19284,0,17,10
